Date;Close;Open;High;Low;Vol;Change
03/01/2021;7.050;6.800;7.090;6.720;388,92M;4,14%
10/01/2021;6.955;7.150;7.380;6.840;520,02M;-1,35%
17/01/2021;7.080;6.955;7.300;6.845;414,59M;1,80%
24/01/2021;6.760;7.200;7.200;6.705;510,80M;-4,52%
31/01/2021;6.915;6.760;7.000;6.595;399,71M;2,29%
07/02/2021;6.880;7.050;7.055;6.840;203,09M;-0,51%
14/02/2021;6.825;6.830;6.960;6.720;358,85M;-0,80%
21/02/2021;6.710;6.900;6.940;6.645;451,46M;-1,68%
28/02/2021;6.800;6.830;7.160;6.720;604,13M;1,34%
07/03/2021;6.765;6.950;6.950;6.600;351,10M;-0,51%
14/03/2021;6.760;6.815;6.820;6.605;395,57M;-0,07%
21/03/2021;6.415;6.640;6.720;6.300;600,91M;-5,10%
28/03/2021;6.225;6.410;6.515;6.145;532,16M;-2,96%
04/04/2021;6.200;6.250;6.320;6.080;502,09M;-0,40%
11/04/2021;6.275;6.295;6.370;5.980;547,12M;1,21%
18/04/2021;6.390;6.275;6.395;6.165;360,47M;1,83%
25/04/2021;6.405;6.395;6.460;6.280;452,24M;0,23%
02/05/2021;6.400;6.480;6.480;6.340;230,85M;-0,08%
09/05/2021;6.480;6.400;6.480;6.305;138,86M;1,25%
16/05/2021;6.360;6.500;6.500;6.260;425,10M;-1,85%
23/05/2021;6.340;6.355;6.480;6.270;786,76M;-0,31%
30/05/2021;6.580;6.360;6.620;6.325;439,09M;3,79%
06/06/2021;6.470;6.560;6.620;6.360;350,16M;-1,67%
13/06/2021;6.325;6.520;6.520;6.275;384,75M;-2,24%
20/06/2021;6.190;6.300;6.390;6.190;304,05M;-2,13%
27/06/2021;6.100;6.100;6.150;6.000;329,46M;-1,45%
04/07/2021;6.020;6.100;6.180;5.980;197,59M;-1,31%
11/07/2021;6.110;6.070;6.180;5.980;288,97M;1,50%
18/07/2021;6.035;6.110;6.190;6.005;242,86M;-1,23%
25/07/2021;5.970;6.040;6.100;5.960;365,70M;-1,08%
01/08/2021;6.160;6.060;6.360;5.905;432,22M;3,18%
08/08/2021;6.410;6.135;6.435;6.105;318,56M;4,06%
15/08/2021;6.600;6.420;6.760;6.305;476,73M;2,96%
22/08/2021;6.510;6.515;6.605;6.470;354,48M;-1,36%
29/08/2021;6.600;6.530;6.600;6.455;346,32M;1,38%
05/09/2021;6.520;6.600;6.605;6.410;320,13M;-1,21%
12/09/2021;6.520;6.560;6.595;6.480;302,65M;0,00%
19/09/2021;6.585;6.570;6.590;6.470;320,53M;1,00%
26/09/2021;6.760;6.585;7.000;6.500;470,12M;2,66%
03/10/2021;7.290;6.740;7.300;6.740;505,92M;7,84%
10/10/2021;7.650;7.240;8.250;7.230;630,35M;4,94%
17/10/2021;7.525;7.650;7.675;7.350;454,10M;-1,63%
24/10/2021;7.475;7.400;7.600;7.350;323,41M;-0,66%
31/10/2021;7.450;7.550;7.550;7.250;294,95M;-0,33%
07/11/2021;7.525;7.500;7.750;7.450;343,11M;1,01%
14/11/2021;7.425;7.625;7.625;7.325;374,97M;-1,33%
21/11/2021;7.275;7.425;7.575;7.250;298,49M;-2,02%
28/11/2021;7.375;7.275;7.525;7.175;439,48M;1,37%
05/12/2021;7.375;7.450;7.475;7.275;328,96M;0,00%
